Date,Open,Close,High,Low,Pcr,Volume
2015-11-18,2049.75,2079.75,2082.50,2043.00,2.21,1341290
2015-11-19,2078.25,2079.25,2089.25,2075.25,1.48,966861
2015-11-20,2078.25,2088.75,2094.50,2076.00,2.11,1005690
2015-11-23,2089.75,2084.25,2093.00,2078.25,2.68,756550
2015-11-24,2083.00,2084.75,2091.50,2065.50,2.44,839936
2015-11-25,2084.00,2088.00,2092.50,2082.25,2.28,754918
2015-11-26,2089.50,2095.75,2098.25,2088.50,0.00,0
2015-11-27,2089.50,2090.00,2098.25,2081.50,2.13,643807
2015-11-30,2089.50,2079.75,2095.00,2078.50,2.62,951768
2015-12-01,2085.50,2100.00,2101.50,2083.50,2.18,819870
2015-12-02,2099.50,2081.50,2105.00,2075.00,1.78,1088339
2015-12-03,2083.25,2051.25,2095.25,2040.00,2.06,1379073
2015-12-04,2053.25,2088.50,2093.00,2046.75,1.66,1308244
2015-12-07,2092.25,2081.00,2095.50,2064.50,2.03,712744
2015-12-08,2080.00,2058.75,2081.50,2050.25,1.38,670998
2015-12-09,2059.50,2042.00,2079.75,2034.25,1.70,1069622
2015-12-10,2045.75,2049.25,2067.00,2043.75,1.98,1006413
2015-12-11,2050.75,2009.75,2056.25,2005.00,2.11,1701969
2015-12-14,2008.00,2018.50,2028.25,1992.25,2.59,1348160
2015-12-15,2021.75,2045.50,2054.00,2019.00,1.77,1089910
2015-12-16,2046.00,2072.00,2077.00,2040.00,1.63,1293538
2015-12-17,2069.75,2034.25,2082.25,2032.50,1.64,1271045
2015-12-18,2033.25,2029.72,2040.25,2022.00,2.14,1155933
2015-12-21,1997.25,2015.00,2019.50,1995.25,1.88,802309
2015-12-22,2017.00,2036.00,2036.50,2007.25,2.03,871728
2015-12-23,2034.00,2053.00,2057.75,2030.75,1.64,1012008
2015-12-24,2052.75,2051.25,2059.75,2049.00,1.92,462036
2015-12-28,2051.25,2048.75,2054.50,2035.25,1.85,472874
2015-12-29,2049.75,2072.75,2074.50,2047.50,1.74,734479
2015-12-30,2072.00,2054.50,2075.00,2053.50,2.39,644697
2015-12-31,2055.25,2035.50,2057.75,2030.25,1.97,943882
2016-01-04,2037.75,2009.00,2043.50,1980.25,1.78,1304561
2016-01-05,2009.00,2011.75,2017.00,1992.25,2.04,871282
2016-01-06,2010.75,1986.00,2013.25,1970.50,1.87,1112344
2016-01-07,1987.75,1933.00,1991.00,1928.50,2.24,1707915
2016-01-08,1936.50,1911.50,1964.75,1910.00,2.22,1560268
2016-01-11,1909.25,1914.25,1929.00,1892.50,2.61,1506556
2016-01-12,1913.50,1925.00,1940.25,1899.00,1.70,1100811
2016-01-13,1922.50,1881.50,1946.50,1878.00,2.11,1306757
2016-01-14,1883.75,1914.50,1927.50,1871.00,1.80,1741624
2016-01-15,1913.50,1875.00,1921.00,1849.25,2.28,1592425
2016-01-17,1869.75,1868.88,1873.00,1860.00,0.00,0
2016-01-18,1869.00,1874.25,1890.00,1865.75,0.00,0
2016-01-19,1869.75,1873.00,1907.50,1856.25,1.94,1002825
2016-01-20,1871.75,1855.00,1878.50,1804.25,2.39,2365944
2016-01-21,1854.75,1861.00,1883.25,1836.25,1.61,1491719
2016-01-22,1858.50,1899.25,1902.25,1855.75,1.65,1233587
2016-01-25,1899.50,1870.25,1904.25,1855.75,1.60,814022
2016-01-26,1871.75,1896.00,1899.75,1851.25,1.22,815771
2016-01-27,1885.25,1875.00,1910.00,1864.50,1.53,874857
2016-01-28,1880.00,1880.75,1902.50,1865.75,1.84,796555
2016-01-29,1878.75,1930.00,1933.00,1876.50,1.47,1480563
2016-02-01,1929.75,1931.25,1940.00,1912.50,1.72,902958
2016-02-02,1928.50,1897.50,1929.25,1889.00,1.73,889689
2016-02-03,1895.00,1908.50,1912.25,1865.00,1.70,1118940
2016-02-04,1907.75,1907.75,1922.25,1890.25,2.21,862740
2016-02-05,1905.25,1875.25,1914.50,1865.75,1.79,1242061
2016-02-08,1876.25,1852.00,1884.50,1821.75,1.89,1372913
2016-02-09,1849.75,1848.25,1863.75,1825.75,1.99,1022711
2016-02-10,1850.00,1846.75,1877.75,1838.50,1.84,949134
2016-02-11,1842.25,1824.50,1847.25,1802.50,1.93,1371702
2016-02-12,1827.25,1858.25,1860.75,1822.50,1.91,1368349
2016-02-14,1865.75,1869.50,1871.00,1865.25,0.00,0
2016-02-15,1869.38,1883.25,1890.00,1868.00,0.00,0
2016-02-16,1865.25,1888.75,1892.75,1865.00,1.91,1113936
2016-02-17,1888.25,1922.75,1928.00,1881.50,1.90,1644008
2016-02-18,1926.75,1916.50,1933.50,1911.25,1.72,1242643
2016-02-19,1917.50,1914.50,1922.75,1898.50,2.12,1115606
2016-02-22,1911.00,1936.25,1943.75,1908.25,1.76,1148659
2016-02-23,1934.00,1916.00,1938.00,1913.75,2.52,899368
2016-02-24,1914.00,1930.25,1933.75,1886.75,1.87,1006596
2016-02-25,1933.00,1950.50,1951.50,1920.25,1.79,913032
2016-02-26,1949.00,1942.75,1968.75,1941.25,1.55,1210165
2016-02-29,1943.00,1929.50,1956.25,1926.50,1.84,1007543
2016-03-01,1928.00,1978.00,1978.50,1920.75,1.25,1277872
2016-03-02,1976.25,1983.50,1984.75,1966.25,1.79,1088315
2016-03-03,1981.75,1990.50,1992.50,1974.75,1.25,1237817
2016-03-04,1991.00,1995.00,2007.50,1984.00,1.19,1489567
2016-03-07,1994.50,1999.00,2004.50,1984.50,1.77,747241
2016-03-08,1999.00,1981.00,2000.25,1976.00,1.79,884483
2016-03-09,1981.75,1989.00,1994.00,1978.00,1.50,945901
2016-03-10,1990.00,1988.75,2010.25,1967.25,1.75,1081395
2016-03-11,1988.50,2020.00,2022.25,1987.50,1.20,1438654
2016-03-14,2019.25,2018.75,2024.50,2012.00,1.50,785227
2016-03-15,2019.00,2015.75,2019.50,2004.50,1.33,898588
2016-03-16,2016.25,2027.00,2032.25,2006.50,1.54,1322127
2016-03-17,2026.75,2039.75,2046.75,2015.75,1.06,1627004
2016-03-18,2041.50,2050.07,2048.75,2037.00,1.33,1246011
2016-03-21,2036.50,2042.75,2044.50,2031.00,1.54,820911
2016-03-22,2043.25,2042.50,2047.50,2028.75,1.56,836546
2016-03-23,2043.00,2028.75,2045.25,2025.25,1.42,963195
2016-03-24,2028.00,2028.50,2030.25,2012.25,1.85,1097436
2016-03-28,2030.25,2028.00,2039.75,2022.00,1.66,618344
2016-03-29,2027.75,2047.50,2049.25,2019.25,1.46,819369
2016-03-30,2048.50,2055.25,2064.50,2046.75,1.11,1539195
2016-03-31,2055.50,2051.50,2059.75,2047.25,1.89,977322
2016-04-01,2052.75,2065.00,2067.00,2035.25,1.47,1081956
2016-04-04,2064.00,2057.50,2071.50,2054.25,1.42,768664
2016-04-05,2055.50,2038.75,2055.50,2034.25,1.71,733267
2016-04-06,2042.00,2060.25,2060.50,2035.00,1.78,761776
2016-04-07,2059.75,2035.00,2062.00,2026.00,1.56,934150
2016-04-08,2034.50,2040.75,2054.25,2030.25,1.90,889450
2016-04-11,2041.00,2034.50,2056.50,2032.50,1.65,711243
2016-04-12,2032.50,2055.75,2058.50,2029.25,1.43,746062
2016-04-13,2055.25,2076.00,2077.00,2054.00,1.05,1155086
2016-04-14,2076.25,2076.50,2081.75,2068.50,1.15,1218899
2016-04-15,2077.75,2075.00,2080.00,2069.50,1.78,960044
2016-04-18,2064.25,2086.75,2088.75,2058.50,1.93,705765
2016-04-19,2085.25,2093.75,2098.50,2084.75,1.21,1111829
2016-04-20,2094.25,2098.00,2105.25,2085.75,1.61,1541425
2016-04-21,2097.75,2082.75,2104.00,2078.75,1.60,991716
2016-04-22,2079.75,2086.00,2089.00,2075.00,2.06,998010
2016-04-25,2091.50,2083.25,2091.50,2071.00,1.49,623275
2016-04-26,2084.25,2088.50,2091.25,2079.50,1.42,618571
2016-04-27,2082.25,2090.75,2094.00,2076.25,1.52,804021
2016-04-28,2092.50,2072.50,2094.25,2065.25,1.52,916534
2016-04-29,2073.75,2059.00,2076.00,2045.75,1.65,1422878
2016-05-02,2060.75,2074.25,2077.50,2055.50,1.50,569997
2016-05-03,2075.50,2057.00,2076.25,2048.00,1.99,857660
2016-05-04,2057.50,2047.00,2060.25,2039.00,1.28,1066824
2016-05-05,2046.50,2044.00,2060.00,2039.50,2.01,845032
2016-05-06,2043.50,2052.75,2054.50,2030.50,1.72,1295379
2016-05-09,2053.00,2054.25,2059.75,2048.25,2.36,616558
2016-05-10,2054.00,2077.50,2079.75,2048.00,1.55,977729
2016-05-11,2077.25,2058.00,2078.75,2057.50,1.84,1014466
2016-05-12,2059.00,2058.75,2072.75,2048.50,1.97,838703
2016-05-13,2059.25,2043.50,2063.50,2038.50,2.08,1065945
2016-05-16,2041.25,2062.75,2068.50,2035.00,1.43,776725
2016-05-17,2062.00,2043.50,2069.50,2036.75,1.58,1063446
2016-05-18,2043.75,2041.50,2057.75,2030.75,1.61,1248659
2016-05-19,2043.50,2038.75,2044.75,2022.00,1.86,1411621
2016-05-20,2038.75,2050.00,2055.50,2037.25,1.50,1102835
2016-05-23,2053.25,2045.25,2056.00,2043.50,1.99,875719
2016-05-24,2045.00,2075.00,2077.25,2041.25,1.60,1272723
2016-05-25,2075.00,2087.25,2092.50,2073.50,1.21,1277784
2016-05-26,2088.75,2089.75,2091.75,2082.50,1.53,995702
2016-05-27,2090.50,2097.25,2098.75,2088.00,1.51,1122522
2016-05-29,2099.62,2101.50,2103.25,2099.50,0.00,0
2016-05-30,2101.25,2101.25,2103.75,2099.75,0.00,0
2016-05-31,2100.00,2095.00,2103.75,2086.00,1.70,1224389
2016-06-01,2094.00,2098.00,2099.25,2083.25,1.71,1119037
2016-06-02,2096.75,2103.75,2104.75,2086.75,1.48,892685
2016-06-03,2103.50,2097.75,2106.00,2082.75,1.29,1339532
2016-06-06,2097.50,2108.25,2112.25,2094.00,1.52,1232397
2016-06-07,2108.25,2110.25,2118.00,2106.50,1.24,1340011
2016-06-08,2110.25,2118.00,2119.75,2106.50,1.39,962413
2016-06-09,2117.75,2114.25,2118.50,2106.25,1.56,892000
2016-06-10,2113.75,2096.25,2114.00,2088.50,1.78,1267431
2016-06-13,2089.25,2078.75,2098.25,2075.75,2.01,1171439
2016-06-14,2077.00,2074.50,2081.75,2063.25,2.06,1414835
2016-06-15,2072.75,2071.75,2086.25,2068.75,2.32,1376366
2016-06-16,2070.50,2079.25,2080.00,2050.00,1.88,1528335
2016-06-17,2077.75,2078.50,2083.00,2073.75,1.92,1354156
